10_ulysses_3.tsp,121.601000070572,138.995276295894,[2,2,2,1,3,1,1,1,3, 2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_ulysses_6.tsp,120.329999923706,57.1193912432269,[2,3,3,2,1,6,4,2,6, 5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_ulysses_9.tsp,120.674000024796,44.7202777242148,[4,7,1,9,2,3,5,4,6, 8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_burma_3.tsp,120.767999887466,111.011245396275,[3,2,1,1,3,3,1,1,2,2,2,3,3, 1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_burma_6.tsp,120.710000038147,44.7406235426017,[2,5,6,6,6,4,3,2,1,1,2,4,5, 4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_burma_9.tsp,120.493999958038,24.7624385660711,[1,9,4,4,8,6,5,1,7,3,7,6,2, 2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22_ulysses_3.tsp,120.428999900818,436.63714905317,[1,2,2,1,3,3,1,1,2,2,2,3,3,3,3,1,1,1,3,3,2, 1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22_ulysses_6.tsp,120.50400018692,149.803059085688,[5,6,6,4,2,2,2,4,1,3,1,3,3,1,5,5,4,4,3,2,6, 4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22_ulysses_9.tsp,122.328000068665,85.4444980233594,[4,4,9,5,1,2,1,7,9,8,3,2,2,1,5,4,7,5,8,6,6, 7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26_eil_3.tsp,120.712999820709,2882.51306791506,[1,1,1,1,2,3,3,3,2,2,1,2,3,3,2,2,2,1,2,2,2,1,3,3,3, 1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26_eil_6.tsp,120.960000038147,1220.8043449457,[5,4,3,3,6,2,1,1,4,3,3,5,5,2,6,4,6,5,6,3,4,1,1,2,2, 1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26_eil_9.tsp,121.042999982834,924.118073093581,[6,6,4,1,2,5,7,7,2,5,6,3,8,9,9,2,3,8,3,4,1,4,7,9,5, 4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_eil_3.tsp,123.112999916077,3458.52878217052,[1,3,1,1,2,1,2,2,2,2,2,3,2,2,1,3,3,3,2,1,1,1,3,3,3,2,1,1,1, 1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_eil_6.tsp,120.754999876022,1924.55824743305,[1,1,4,4,1,5,1,6,6,5,6,3,6,6,5,3,2,3,4,2,5,4,2,2,3,1,4,1,4, 1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_eil_9.tsp,124.300000190735,979.737788116784,[6,1,5,6,8,6,8,9,2,3,9,2,8,8,5,7,6,7,8,3,1,4,4,4,7,2,5,1,1, 1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34_pr_3.tsp,120.604000091553,807184.625360275,[3,3,3,3,1,3,3,3,2,2,2,2,3,3,2,2,2,2,1,3,1,1,3,3,1,1,2,1,2,2,2,1,1, 1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34_pr_6.tsp,121.449999809265,338842.331669964,[4,4,4,3,1,4,4,4,2,2,2,2,2,2,2,2,1,1,1,3,6,6,3,6,3,6,5,6,5,5,1,5,5, 5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34_pr_9.tsp,122.00200009346,251903.47738028,[2,7,1,1,1,1,7,2,8,8,6,8,3,8,3,3,3,3,4,6,7,6,2,4,4,9,5,5,5,5,1,9,9, 9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38_rat_3.tsp,121.065999984741,10920.4875563689,[3,3,3,3,3,3,1,1,1,3,1,3,3,3,1,2,1,1,3,3,2,2,1,2,3,2,1,3,1,1,3,2,2,2,2,1,2, 2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38_rat_6.tsp,121.023999929428,4976.58572411192,[5,5,5,5,1,1,4,1,5,3,5,5,3,1,1,1,4,4,3,3,1,2,4,4,2,4,4,6,3,6,2,2,2,2,2,2,6, 6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38_rat_9.tsp,122.052999973297,3404.55447127716,[3,2,3,2,2,4,4,4,9,3,3,3,8,4,5,6,6,6,8,7,2,2,4,5,5,6,9,7,7,8,8,5,5,9,6,9,1, 1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40_eil_3.tsp,121.319999933243,7939.94026671391,[3,1,1,2,3,1,3,3,1,3,1,2,2,1,1,1,1,3,3,2,1,1,2,2,2,2,3,2,2,2,3,3,2,2,3,3,1,1,2, 1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40_eil_6.tsp,123.085999965668,3690.16111973487,[1,2,2,6,4,3,5,5,6,6,5,2,4,4,4,3,4,5,5,1,3,2,2,2,3,2,6,2,3,5,1,1,3,1,1,5,6,4,2, 6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40_eil_9.tsp,149.866000175476,2142.72856295738,[3,2,1,5,4,6,9,4,1,9,9,8,6,6,2,2,4,4,9,1,6,2,5,3,5,8,7,8,8,3,7,1,3,3,1,7,5,2,6, 8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44_lin_3.tsp,121.680000066757,200481.034568385,[2,2,2,2,2,2,2,2,2,1,1,3,2,2,1,3,3,2,3,1,1,1,3,2,2,3,1,1,1,1,3,1,1,2,1,3,1,3,1,3,3,3,3, 3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44_lin_6.tsp,129.006999969482,96945.7294497236,[4,4,3,3,3,3,4,2,3,2,4,2,2,2,4,5,2,5,5,6,5,4,6,1,5,5,6,3,4,6,6,4,6,6,2,6,5,1,1,1,5,1,5, 1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44_lin_9.tsp,121.81299996376,54968.5413523628,[1,1,6,2,2,1,1,2,2,1,1,6,2,6,9,7,6,4,7,9,7,9,3,5,6,7,3,3,4,4,9,3,3,5,7,5,8,5,8,4,8,8,8, 4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48_att_3.tsp,120.844000101089,900134.329965093,[2,2,3,2,2,1,1,2,3,2,1,3,3,3,1,1,1,1,1,3,2,3,2,2,3,2,3,1,3,1,1,2,1,2,2,1,1,3,2,1,2,2,1,1,3,1,1, 2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48_att_6.tsp,166.327000141144,439320.298353858,[5,3,5,3,3,2,4,4,5,6,6,2,2,2,6,5,6,4,2,1,1,5,1,3,3,1,1,4,3,1,4,6,1,5,3,4,2,5,5,5,5,3,1,4,1,2,6, 6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48_att_9.tsp,122.871000051498,203934.171068321,[5,8,9,8,1,3,4,2,3,8,7,7,6,5,7,2,3,4,3,7,7,9,2,6,1,8,4,4,1,5,5,1,7,9,8,5,3,2,1,2,9,9,3,4,6,7,6, 9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52_berlin_3.tsp,124.121999979019,200370.145942873,[2,3,3,1,1,2,3,3,1,3,1,1,1,1,2,2,3,2,3,2,3,2,3,1,1,1,1,3,3,3,3,2,1,2,3,2,2,2,2,2,3,3,1,2,2,1,2,2,2,3,1, 1],,,,,,,,,,,,,,,,,,,,,,,,,,,,
52_berlin_6.tsp,127.674000024796,76840.7961021981,[5,1,3,5,2,6,1,6,6,6,4,2,4,4,2,2,3,3,3,1,1,5,1,5,2,4,4,4,1,1,1,5,6,5,1,3,5,5,5,6,3,1,6,5,3,2,2,2,3,3,2, 4],,,,,,,,,,,,,,,,,,,,,,,,,,,,
